pl_name,hostname,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,st_teff,st_lum,st_rad,st_mass,st_age
K2-64 b,K2-64,2.07,4.94,3.06,0.0351999999999999,810.6,98.0,6.53044,0.0619,5312.0,-0.23421,0.726,0.7410000000000001,7.043999999999999
K2-65 b,K2-65,1.58,3.12,4.35,0.0,679.4,45.0,12.6475,0.1014,5213.0,-0.328,0.8400000000000001,0.87,2.939
K2-66 b,K2-66,2.49,21.3,7.800000000000002,0.0,1372.0,840.0000000000002,5.06963,0.05983,5887.0,0.50621,1.6699999999999997,1.11,5.047000000000001
K2-68 b,K2-68,1.58,3.12,4.35,0.0072,671.02,41.0,8.054280000000002,0.0708,4746.0,-0.67323,0.675,0.73,4.986
K2-69 b,K2-69,2.32,5.989999999999999,2.640000000000001,0.0687,512.784,17.9,7.065990000000001,0.0591,4127.0,-1.35611,0.491,0.551,4.681
K2-7 b,K2-7,4.03523305,15.300000000000004,1.2800000000000002,0.24,786.0,125.0,28.6781,0.1867,5700.0,0.35025,1.533,1.056,8.6
K2-70 b,K2-70,2.89,8.699999999999998,1.98,0.0,736.9,61.99999999999999,13.978960000000002,0.1112,5622.0,-0.42935,0.9300000000000002,0.94,4.119
K2-71 b,K2-71,2.15,5.269999999999999,2.91,0.15,513.4,13.4,6.985410000000001,0.0559,4006.0,-1.51871,0.426,0.477,4.51
K2-72 b,K2-72,1.08,1.2800000000000002,5.58,0.11,443.338,8.500000000000002,5.577212000000001,0.04,3360.47,-1.83673,0.330989,0.271365,5.711
K2-72 c,K2-72,1.16,1.65,5.81,0.11,324.22,2.2,15.189034,0.078,3360.47,-1.83673,0.330989,0.271365,4.73801
K2-72 d,K2-72,1.01,1.01,5.390000000000001,0.11,419.0,5.4,7.760177999999999,0.05,3360.47,-1.83673,0.330989,0.271365,4.476
K2-72 e,K2-72,1.29,2.21,5.66,0.11,278.07000000000005,1.2,24.158868,0.106,3360.47,-1.83673,0.330989,0.271365,3.68701
K2-73 b,K2-73,2.58,9.2,2.8,0.0558,968.0,208.99999999999997,7.49556,0.07619,5867.0,0.07609,1.058,1.02,5.258
K2-73 c,K2-73,13.0,1141.9999999999995,2.86,0.27013,186.1,0.285,1000.0,0.102,5867.0,0.07609,1.058,1.02,5.545
K2-74 b,K2-74,2.31,5.950000000000001,2.65,0.0,720.4,59.09999999999999,19.5666,0.1402,6060.0,0.05957,0.98,0.96,0.766
K2-75 b,K2-75,2.67,7.610000000000001,2.2,0.2167,1116.4,429.99999999999983,7.814199999999998,0.081,5995.0,0.34943,1.56,1.16,5.899800000000001
K2-75 c,K2-75,2.77,8.1,2.09,0.1702,824.3,137.99999999999997,18.311,0.1429,5995.0,0.34943,1.56,1.16,5.925800000000001
K2-77 b,K2-77,2.4996027,603.8770000000001,2.56,0.29,806.0,58.000000000000014,8.200084399999998,0.0753,5160.0,-0.39686,0.7919999999999999,0.847,4.7
K2-79 b,K2-79,4.09,9.2,0.73,0.23,1022.0,181.0,10.994700000000002,0.0988,5897.0,0.01823,1.265,1.066,6.5
K2-8 b,K2-8,3.58,12.5,1.5,0.1672,631.0,37.7,10.352390000000002,0.0856,4870.0,-0.55319,0.74,0.78,3.4620000000000006
K2-8 c,K2-8,2.41,6.390000000000001,2.51,0.016,801.0,97.8,5.064160000000001,0.0532,4870.0,-0.55319,0.74,0.78,5.213
K2-80 b,K2-80,2.01,4.699999999999999,3.18,0.0,633.7,32.5,19.0918,0.135,5441.0,-0.43238,0.87,0.9,4.484
K2-80 c,K2-80,1.47,2.76,4.769999999999999,0.0,958.98,166.00000000000006,5.605,0.0596,5441.0,-0.43238,0.87,0.9,4.483
K2-80 d,K2-80,2.55211506,7.040000000000001,2.33,0.0,547.8,22.513039136499454,28.867253000000005,0.102,5377.0,-0.43238,0.841458,0.913111,3.196
K2-81 b,K2-81,1.97,4.540000000000001,3.26,0.06,793.908,62.89999999999997,6.102325000000001,0.059,4674.13,-0.5689,0.634663,0.7452730000000001,4.770999999999999
K2-83 b,K2-83,1.244,2.08,5.94,0.07,750.467,41.50000000000001,2.74697,0.03014,3910.0,-1.20362,0.424,0.484,6.060699999999999
K2-83 c,K2-83,1.483,2.8,4.719999999999999,0.06,447.204,7.419999999999998,9.99767,0.07131,3910.0,-1.20362,0.424,0.484,5.4497
K2-84 b,K2-84,2.41,6.390000000000001,2.51,0.0,972.5,178.0,6.421500000000001,0.0665,5652.0,-0.42274,0.9300000000000002,0.95,4.373
K2-84 c,K2-84,2.03,4.78,3.14,0.0,551.2,25.3,27.86,0.1768,5652.0,-0.42274,0.9300000000000002,0.95,4.499999999999999
K2-85 b,K2-85,1.4,3.2000000000000006,5.9,0.24,1355.0,800.0000000000003,0.6845386261599999,0.013,4232.0,-0.81171,0.71,0.7,6.062499999999999
K2-86 b,K2-86,1.96,4.5,3.28,0.0,815.5,78.0,8.77683,0.077,5482.0,-0.38611,0.76,0.79,4.447
K2-87 b,K2-87,7.6,44.89999999999999,0.562,0.1888999999999999,979.0,84.99999999999997,9.726618,0.094,5747.0,-0.09769,1.4009999999999998,1.164,4.8637
K2-88 b,K2-88,1.23,2.04,6.02,0.26,461.543,7.800000000000002,4.6122,0.0345,3537.0,-1.54478,0.256,0.258,5.155
K2-89 b,K2-89,0.615,0.1699999999999999,4.02,0.15,836.344,78.0,1.096026,0.01462,3691.0,-1.32653,0.318,0.347,6.755
K2-9 b,K2-9,2.25,5.69,2.74,0.152,314.0,1.36,18.4498,0.091,3390.0,-1.92082,0.3099999999999999,0.3,1.0
K2-90 b,K2-90,2.6,7.269999999999999,2.2700000000000005,0.07,502.0,10.2,13.733314,0.096,4484.0,-0.95318,0.619,0.629,3.0850000000000004
K2-90 c,K2-90,1.3,2.24,5.6,0.19,789.546,80.80000000000003,2.900706,0.035,4421.98,-0.95318,0.634754,0.704613,3.193
K2-91 b,K2-91,1.1,1.37,5.66,0.09,726.2,45.99999999999999,1.4195489999999995,0.0164,3622.0,-1.84126,0.284,0.2919999999999999,3.191
K2-95 b,K2-95,3.31,11.0,1.6699999999999997,0.16,474.0,10.267271635258544,10.1346454,0.0525,3566.0,-1.63451,0.4,0.41,0.79
K2-97 b,K2-97,13.45077684,174.48779544,0.392,0.207,1566.0,114.14899999999996,8.407115000000001,0.0853999999999999,4673.0,0.86688,4.14,1.17,7.5
K2-98 b,K2-98,5.06645928,34.00763955,1.4,0.119,1185.0,339.0000000000001,10.136734900000002,0.0986,6260.0,0.50379,1.5179999999999998,1.246,3.4
K2-99 b,K2-99,11.88151954,276.51071409000014,0.9,0.22,1184.0,357.0,18.247830000000004,0.153,6069.0,0.89927,2.55,1.44,3.7
K2-99 c,K2-99,12.6,2669.7586188,7.329999999999999,0.21,390.0,10.224862558285178,522.2000000000002,1.4300000000000002,6069.0,0.89927,2.55,1.44,3.7
KELT-10 b,KELT-10,15.681391,215.8065699999999,0.3079999999999999,0.0351999999999999,1377.0,600.0,4.166273899999999,0.0525,5948.0,0.21748,1.209,1.112,4.5
KELT-11 b,KELT-11,15.13212395,65.15482343000001,0.0929999999999999,0.0,1712.0,1432.9999999999998,4.73620865,0.0623,5375.0,0.74429,2.6899999999999995,1.44,4.65
KELT-12 b,KELT-12,19.95202,301.93850000000003,0.209,0.0,1800.0,1748.9999999999995,5.031623,0.06708,6279.0,0.89209,2.37,1.5909999999999995,2.2
KELT-14 b,KELT-14,19.537287,408.0937200000001,0.322,0.0,1970.0,826.1129999999999,1.7100566,0.03005,5720.0,0.27875,1.5200000000000002,1.2390000000000003,5.11
KELT-15 b,KELT-15,19.50366,416.35730000000007,0.36,0.0,1642.0,1612.7617999999998,3.3294400000000004,0.04613,6003.0,0.41162,1.7800000000000002,2.06,3.837600000000001
KELT-17 b,KELT-17,17.093725,416.35730000000007,0.4600000000000001,0.0733,2087.0,3331.870699999999,3.0801716,0.04881,7454.0,0.87564,1.645,1.6350000000000002,0.65
KELT-18 b,KELT-18,17.59813,375.03940000000006,0.377,0.0,2085.0,3152.000000000002,2.8717518,0.0455,6670.0,0.81291,1.9079999999999997,1.524,1.9
KELT-19 A b,KELT-19 A,21.40919,1293.5681,0.744,0.0692,1935.0,2339.999999999999,4.6117093,0.0637,7500.0,0.97772,1.8300000000000003,1.62,0.9069999999999998
KELT-2 A b,KELT-2 A,15.13215,540.311,0.91,0.0,2080.0,3108.4500000000007,4.11379,0.05497,6327.0,0.6889,1.93,1.54,3.97
KELT-20 b,KELT-20,19.514869,1074.9010599999997,0.8060000000000002,0.0,2262.0,4362.499999999998,3.4741085,0.0542,8720.0,1.1038,1.565,1.7600000000000002,0.6
KELT-21 b,KELT-21,17.777474,1242.7153000000003,1.2400000000000002,0.0,2051.0,2949.9999999999995,3.6127647,0.05224,7598.0,0.90472,1.638,1.4579999999999995,1.6
KELT-23 A b,KELT-23 A,14.829507,298.12454000000014,0.503,0.0,1561.0,991.183,2.2552509999999995,0.03302,5899.0,0.03383,0.996,0.944,6.4
KELT-24 b,KELT-24,12.71098411,1458.83238813,3.9,0.0319,1391.0,623.9999999999998,5.551492960000001,0.0665,6426.0,0.43933,1.338,1.268,1.98
KELT-3 b,KELT-3,17.48604,616.5902000000001,0.75,0.0,1816.0,1704.5700000000006,2.70339,0.04123,6304.0,0.62523,1.7000000000000002,1.96,3.0
KELT-4 A b,KELT-4 A,19.044091,286.68266,0.228,0.0,1823.0,1840.000000000001,2.9895932,0.04317,6206.0,0.53529,1.603,1.201,4.44
KELT-6 b,KELT-6,14.5717,165.2716,0.27,0.22,1313.0,718.1879999999998,7.845700000000002,0.07939,6102.0,0.493,1.73,1.4199999999999997,6.1
KELT-6 c,KELT-6,13.0,1179.1493000000005,2.9500000000000006,0.21,671.954,47.9157947101368,1276.0,2.390000000000001,6272.0,0.493,1.529,1.126,4.9
KELT-7 b,KELT-7,17.9344,441.7837000000002,0.442,0.0,2048.0,1775.3899999999994,2.7347700000000006,0.04415,6768.0,0.758,1.8100000000000005,1.7600000000000002,1.3
KELT-8 b,KELT-8,18.15858,209.7678,0.167,0.04,1675.0,983.3097999999997,3.24406,0.0455,5754.0,0.26483,1.46,0.81,5.4
KIC 10068024 b,KIC 10068024,13.4,635.6568139999998,1.45,0.1009,1863.9,1981.28891793774,2.073549,0.102,6118.4,0.496,1.5739999999999998,1.22,0.56
KIC 10525077 b,KIC 10525077,5.5,25.89999999999999,0.855,0.188,356.0,3.347868633330461,854.0829999999999,0.102,6091.0,0.12899,1.01,1.01,2.6182
KIC 3558849 b,KIC 3558849,6.9,38.1,0.637,0.0507,342.92,3.254258162239972,1322.3000000000004,0.102,6175.0,0.40531,1.01,0.98,3.4192
KIC 5437945 b,KIC 5437945,6.4,33.60000000000001,0.704,0.0,308.0,2.8999999999999995,440.7812999999999,1.19671,6340.0,0.64137,1.2400000000000002,1.07,5.01
KIC 5479689 b,KIC 5479689,14.2,158.9142035,0.305,0.1048899999999999,1275.607,374.41233833148783,1.7015309999999997,0.102,5459.1,-0.20099,0.8939999999999999,0.966,4.265
KIC 7917485 b,KIC 7917485,12.4,3750.3939999999993,10.8,0.15,717.9,42.10650959516889,840.0000000000002,0.102,7067.0,0.99564,2.009938,1.63,1.4195
KIC 8121913 b,KIC 8121913,13.4,667.4396546999998,1.5200000000000002,0.1058,1619.2,1210.377075889964,3.294601,0.102,5975.3,0.73994,2.233,1.456,2.8990000000000005
KIC 8540376 b,KOI-7892,4.1,15.8,1.26,0.0509,743.0,57.27426311573581,31.809899999999995,0.102,6474.0,0.2987,1.26,1.04,2.5360000000000005
KIC 8540376 c,KOI-7892,2.4,6.349999999999999,2.5200000000000005,0.0060999999999999,615.6,36.70750562421702,75.2,0.102,6474.0,0.2987,1.26,1.04,1.5630000000000002
KIC 9663113 b,KIC 9663113,4.6,19.200000000000003,1.08,0.0,264.0,3.356,572.3846999999998,1.55346,6065.0,0.7919,1.03,0.98,2.14
KMT-2016-BLG-1105L b,KMT-2016-BLG-1105L,1.33,2.3199999999999994,5.42,0.251,292.98,1.4058131923032935,11.122139999999998,2.44,5549.0,-0.07632,0.95138,0.41,9.3445
KMT-2016-BLG-1107L b,KMT-2016-BLG-1107L,13.1,1042.9999999999995,2.55,0.2742,672.2,42.044412626415706,11.122139999999998,0.342,5549.0,-0.07632,0.95138,0.087,6.44
KMT-2016-BLG-1836L b,KMT-2016-BLG-1836L,13.3,700.0,1.63,0.2476,59.94,0.0497075139850792,11.122139999999998,3.5000000000000004,5549.0,-0.07632,0.95138,0.49,6.722
KMT-2016-BLG-2321L b,KMT-2016-BLG-2321L,13.8,301.9369866499999,0.631,0.2854599999999999,654.8,33.79487626508011,11.122139999999998,3.58,5549.0,-0.07632,0.95138,0.73,5.9118
KMT-2016-BLG-2364L b,KMT-2016-BLG-2364L,13.0,1250.0000000000005,3.13,0.491373,55.9,0.037462219064845,11.122139999999998,2.63,5549.0,-0.07632,0.95138,0.5,6.938
KMT-2016-BLG-2397L b,KMT-2016-BLG-2397L,13.2,836.0,2.0,0.3537099999999999,64.25,0.0497075139850792,11.122139999999998,3.64,5549.0,-0.07632,0.95138,0.64,6.7780000000000005
KMT-2017-BLG-0165L b,KMT-2017-BLG-0165L,6.45,33.99999999999999,0.6959999999999998,0.1941,662.5,41.527063797017874,11.122139999999998,3.45,5549.0,-0.07632,0.95138,0.76,7.2637
KMT-2017-BLG-0428L b,KMT-2017-BLG-0428L,2.23,5.59,2.77,0.1427999999999999,319.88,2.157542018830356,11.122139999999998,1.8100000000000005,5549.0,-0.07632,0.95138,0.3399999999999999,7.845000000000001
KMT-2017-BLG-0673L b,KMT-2017-BLG-0673L,13.0,1166.4302536900002,2.9199999999999995,0.534773,137.25,0.0941288643718988,11.122139999999998,2.34,5549.0,-0.07632,0.95138,0.63,6.878
KMT-2017-BLG-0849L b,KMT-2017-BLG-0849L,2.41,6.390000000000001,2.51,0.0867999999999999,155.68,0.1235080952998268,11.122139999999998,2.73,5549.0,-0.07632,0.95138,0.19,7.627000000000001
KMT-2017-BLG-1003L b,KMT-2017-BLG-1003L,2.13,5.19,2.9500000000000006,0.1456,353.1,3.40919995547476,11.122139999999998,1.3799999999999997,5549.0,-0.07632,0.95138,0.32,8.355
KMT-2017-BLG-1038L b,KMT-2017-BLG-1038L,13.4,639.9999999999999,1.46,0.2477999999999999,188.01,0.2514212133919926,11.122139999999998,1.8000000000000005,5549.0,-0.07632,0.95138,0.37,6.286
KMT-2017-BLG-1057L b,KMT-2017-BLG-1057L,5.19,23.500000000000007,0.924,0.2597,543.6,14.692543150805909,11.122139999999998,2.36,5549.0,-0.07632,0.95138,0.57,7.754300000000001
KMT-2017-BLG-1146L b,KMT-2017-BLG-1146L,14.0,229.99999999999997,0.4610000000000001,0.30901,662.4,40.02291793045229,11.122139999999998,1.6000000000000003,5549.0,-0.07632,0.95138,0.33,5.229
KMT-2017-BLG-1194L b,KMT-2017-BLG-1194L,1.7,3.54,3.96,0.1223,319.4,2.177670355797667,11.122139999999998,1.7800000000000002,5549.0,-0.07632,0.95138,0.41,10.401
KMT-2017-BLG-2331L b,KMT-2017-BLG-2331L,14.2,170.99999999999994,0.328,0.34987,658.866,41.2063682370464,11.122139999999998,2.14,5549.0,-0.07632,0.95138,0.4,3.9403
KMT-2017-BLG-2509L b,KMT-2017-BLG-2509L,13.4,664.2613706299998,1.5200000000000002,0.2502999999999999,174.53000000000003,0.176554878415967,11.122139999999998,2.14,5549.0,-0.07632,0.95138,0.4600000000000001,6.722
KMT-2018-BLG-0029L b,KMT-2018-BLG-0029L,2.67,7.59,2.19,0.1352,577.2,28.237551804892668,11.122139999999998,4.27,5549.0,-0.07632,0.95138,1.14,1.7856
KMT-2018-BLG-0030L b,KMT-2018-BLG-0030L,13.6,460.8511901499999,1.01,0.25898,62.24,0.0497075139850792,11.122139999999998,4.39,5549.0,-0.07632,0.95138,0.51,6.586
