pl_name,hostname,pl_rade,pl_dens,pl_orbeccen,pl_eqt,pl_orbsmax,st_teff,st_mass,st_age
HATS-62 b,HATS-62,11.825495,0.0732504617395926,0.298,1237.0,0.04163,5416.0,0.8960000000000001,9.55
HATS-63 b,HATS-63,13.529263,0.5128236264286637,0.136,1398.3,0.04026,5627.0,0.931,10.3
HATS-64 b,HATS-64,18.819911,0.2191355299166709,0.151,1793.0,0.06562,6554.0,1.564,1.861
HATS-65 b,HATS-65,16.824709,0.262364264467491,0.062,1634.0,0.0449699999999999,6277.0,1.2569999999999997,1.78
HATS-66 b,HATS-66,15.815899,1.205970806988609,0.064,1998.0,0.04714,6626.0,1.411,2.17
HATS-67 b,HATS-67,18.887165,0.3177261938001576,0.057,2193.0,0.03032,6594.0,1.435,0.51
HATS-68 b,HATS-68,13.809488,0.6184236343640088,0.036,1741.0,0.05071,6147.0,1.351,3.02
HATS-69 b,HATS-69,10.592505,0.3784364357202451,0.519,1295.7,0.03211,5137.0,0.8920000000000001,8.0
HATS-7 b,HATS-7,6.310667,0.6043159668533296,0.17,1084.0,0.04012,4985.0,0.8489999999999999,7.8
HATS-71 b,HATS-71,11.478016,0.3506568716131693,0.0,586.8,0.03745,3405.0,0.4861,3.2
HATS-72 b,HATS-72,8.0973816,0.3442986728706769,0.013,739.3,0.0665169999999999,4656.1,0.7311,12.17
HATS-74 A b,HATS-74 A,11.56766808,0.9707789171582246,0.044,895.1,0.02384,3776.9,0.601,11.0
HATS-76 b,HATS-76,12.09449018,1.275362800412609,0.062,939.8,0.02658,4016.0,0.662,4.6
HATS-77 b,HATS-77,13.05846252,0.7309245448939752,0.045,828.3,0.03607,4071.0,0.655,12.1
HATS-8 b,HATS-8,9.785457,0.2303177550622101,0.376,1324.0,0.04667,5679.0,1.056,5.1
HATS-9 b,HATS-9,13.85,0.4861230111256188,0.075,1746.0,0.0312,5599.0,1.1,10.8
HD 100777 b,HD 100777,13.7,0.6070444815065336,0.38,665.2610000000001,1.06,5533.0,1.08,5.7
HD 101581 b,HIP 56998,0.956,1.8245492920510455,0.007,834.0,0.046,4675.0,0.653,6.88
HD 101581 c,HIP 56998,0.99,1.8421356765531216,0.014,747.0,0.0573,4675.0,0.653,6.88
HD 10180 c,HD 10180,2.839553935,1.269760544863939,0.073,1049.8,0.06412,5911.0,1.06,4.3
HD 10180 d,HD 10180,2.839553935,1.269760544863939,0.131,813.4,0.12859,5911.0,1.06,4.3
HD 10180 e,HD 10180,5.39,0.6318035503188933,0.051,561.64,0.2699,5911.0,1.06,4.3
HD 10180 f,HD 10180,5.24,0.6486726904581158,0.119,403.836,0.4929,5911.0,1.06,4.3
HD 10180 g,HD 10180,2.839553935,1.269760544863939,0.263,485.5,1.427,5911.0,1.06,4.3
HD 10180 h,HD 10180,9.4,0.3548733219921042,0.095,315.23,3.381,5911.0,1.06,4.3
HD 101930 b,HD 101930,10.6,0.3126185577418125,0.11,396.248,0.3,5108.0,0.57,1.0
HD 102117 b,HD 102117,8.47,0.3981047537018719,0.12,749.9,0.15,5655.0,1.06,10.0
HD 102195 b,HD 102195,14.2,0.2231435513142097,0.0,1067.1,0.05,5301.0,0.76,2.4
HD 102365 b,HD 102365,4.14,0.8064758658669486,0.34,426.3,0.4600000000000001,5630.0,0.8500000000000001,9.0
HD 102843 b,HD 102843,13.1,0.245296355955343,0.11,175.82,4.074,5436.0,0.95,6.664
HD 102956 b,HD 102956,13.8,0.4934759854308777,0.037,1535.846,0.0807,4985.0,1.6599999999999997,2.3
HD 103197 b,HD 103197,5.83,0.5838901946229959,0.0,427.6,0.25,5250.0,0.8,9.1
HD 103720 b,HD 103720,14.1,0.3264219007677115,0.086,972.89,0.0498,5017.0,0.7940000000000002,3.8
HD 103774 b,HD 103774,13.3,0.239803992207317,0.09,1462.6,0.07,6489.0,1.335,1.05
HD 103891 b,HD 103891,13.2,1.1600209167967532,0.31,192.01,3.27,6072.0,1.2800000000000002,3.68
HD 103949 b,HD 103949,3.35,0.9707789171582246,0.19,290.32,0.4389999999999999,4792.0,0.77,5.788
HD 104067 b,HD 104067,9.2,0.3632532592988549,0.123,408.5220000000001,0.2674,4952.0,0.8200000000000001,4.33
HD 104067 c,HD 104067,3.69,0.8919980393051105,0.29,713.8199999999999,0.1057999999999999,4952.0,0.8200000000000001,4.33
HD 10442 b,HD 10442,13.6,0.708035793053696,0.132,542.4,2.01,4912.0,1.01,10.65
HD 105618 b,HD 105618,5.44,0.6248683398066509,0.455,931.4,0.091,5671.0,1.01,8.506000000000002
HD 105779 b,HD 105779,14.1,0.3357576956833441,0.0,76.88,3.38,5792.0,0.89,7.54
HD 106252 b,HD 106252,12.5,2.2965670206684825,0.48,618.801,2.655,5874.0,1.05,3.0
HD 106270 b,HD 106270,12.4,2.4336133554004498,0.185,536.0,3.3400000000000003,5509.0,1.3899999999999997,4.3
HD 106315 b,HD 106315,2.44,1.7404661748405044,0.093,1153.0,0.0907,6327.0,1.091,4.48
HD 106315 c,HD 106315,4.35,0.6981347220709844,0.22,886.0,0.1536,6327.0,1.091,4.48
HD 10647 b,HD 10647,13.8,0.4855078157817007,0.15,562.302,2.015,6218.0,1.11,1.4
HD 10697 b,HD 10697,12.8,1.754403682684286,0.104,275.333,2.051,5641.0,0.99,6.98
HD 107148 b,HD 107148,9.6,0.3471295310952009,0.05,583.1809999999999,0.269,5797.0,1.12,5.6
HD 107148 c,HD 107148,4.7,0.7178397931503169,0.34,793.8,0.1407,5752.92,1.105215,5.6
HD 108147 b,HD 108147,10.9,0.3015849776207723,0.53,890.0,0.102,6255.73,1.22,3.2
HD 108202 b,HD 108202,13.1,1.2029723039923526,0.52,177.66000000000005,3.7,4556.03,0.74,6.5
HD 108236 b,HD 108236,1.615,1.6544112780768316,0.045,1099.0,0.04527,5660.0,0.8690000000000001,6.7
HD 108236 c,HD 108236,2.071,1.4011829736136412,0.034,932.0,0.062,5660.0,0.8690000000000001,6.7
HD 108236 e,HD 108236,3.083,1.0367368849500225,0.058,636.0,0.1367,5660.0,0.8690000000000001,6.7
HD 108236 f,HD 108236,2.017,1.425515074273172,0.051,580.1,0.1758,5660.0,0.8690000000000001,6.7
HD 108874 b,HD 108874,13.6,0.6861225656229808,0.13,573.3610000000001,1.04,5600.0,1.1,8.0
HD 108874 c,HD 108874,13.8,0.5056120567131033,0.239,144.96,2.659,5551.0,0.95,8.0
HD 109246 b,HD 109246,13.9,0.4440445900756395,0.12,618.9010000000001,0.33,5844.0,1.2,3.763
HD 109271 b,HD 109271,4.31,0.7793248768009976,0.25,1085.599,0.079,5783.0,1.0469999999999997,7.3
HD 109271 c,HD 109271,5.27,0.645531326618282,0.15,705.422,0.196,5783.0,1.0469999999999997,7.3
HD 109286 b,HD 109286,13.2,1.184789984909162,0.338,259.4,1.259,5694.0,0.98,8.129000000000001
HD 109749 b,HD 109749,11.1,0.2963940130538024,0.0,1264.876,0.0615,5824.0,1.13,3.3
HD 109833 b,HD 109833,2.888,1.091923300517313,0.18,786.0,0.102,5881.0,1.08,0.027
HD 109833 c,HD 109833,2.59,1.1878434223960523,0.3,756.7,0.102,5881.0,1.08,0.027
HD 110067 b,HD 110067,2.2,1.3711807233098423,0.0551,800.0,0.0793,5266.0,0.798,8.1
HD 110067 c,HD 110067,2.388,1.269760544863939,0.0588999999999999,699.0,0.1039,5266.0,0.798,8.1
HD 110067 d,HD 110067,2.852,1.1052568313867783,0.0701,602.0,0.1362,5266.0,0.798,8.1
HD 110067 e,HD 110067,1.94,1.269760544863939,0.1002,533.0,0.1785,5266.0,0.798,8.1
HD 110067 f,HD 110067,2.601,0.9439058989071286,0.0583,489.0,0.2163,5266.0,0.798,8.1
HD 110067 g,HD 110067,2.607,1.269760544863939,0.0639999999999999,440.0,0.2621,5266.0,0.798,8.1
HD 110082 b,HD 110082,3.2,1.0043016091968684,0.2,957.2,0.1129999999999999,6200.0,1.21,0.25
HD 110113 b,HD 110113,2.05,1.3609765531356006,0.093,1371.0,0.035,5732.0,0.997,4.0
HD 110113 c,HD 110113,2.11384817,1.9615022438151493,0.045,990.0,0.068,5732.0,0.997,4.0
HD 111232 b,HD 111232,12.6,2.0731719286662407,0.214,327.12,2.148000000000001,5512.0,0.96,5.2
HD 111998 b,HD 111998,12.9,1.5912739418064292,0.13,674.2,1.91,6557.0,1.4,1.7
HD 113337 b,HD 113337,13.1,1.2612978709452054,0.28,614.4,1.022,6774.0,1.41,0.15
HD 113538 b,HD 113538,13.2,0.2413763195752694,0.14,311.46,1.2400000000000002,4462.0,0.585,4.3
HD 113538 c,HD 113538,13.8,0.4811908186363,0.2,223.016,2.44,4462.0,0.585,4.3
HD 114082 b,HD 114082,11.2089807,2.3905959703167587,0.395,534.9,0.5109,6651.0,1.4700000000000002,0.015
HD 114386 b,HD 114386,13.7,0.5732368838873878,0.23,421.996,1.73,4836.0,0.6000000000000001,1.4
HD 114729 b,HD 114729,13.9,0.4298324645564588,0.079,566.911,2.067,5844.0,0.9360000000000002,10.116
HD 114783 b,HD 114783,13.7,0.5579000311519196,0.144,497.34,1.16,5135.0,0.853,6.0
HD 11506 b,HD 11506,12.9,1.603419840108537,0.379,236.8940000000001,2.885,6123.0,1.22,2.5
HD 11506 c,HD 11506,14.0,0.2271355725837472,0.228,688.9110000000001,0.7710000000000001,6123.0,1.22,2.5
HD 115404 A b,HD 115404 A,6.09,0.5596157879354227,0.232,702.42,0.0879999999999999,5019.17,0.83,5.284999999999999
HD 116029 b,HD 116029,13.6,0.6790482561804436,0.0,764.83,1.65,4819.0,0.83,2.7
HD 116029 c,HD 116029,13.7,0.6221880916194514,0.038,1145.208,0.102,4951.0,1.33,2.7
HD 117207 b,HD 117207,13.4,0.9282193027394288,0.157,223.11,3.787,5732.0,1.053,4.192
HD 117618 b,HD 117618,8.59,0.3913661837286627,0.15,700.7,0.18,5990.0,1.077,5.6
HD 118203 b,HD 118203,12.778238,1.0260415958332745,0.3136,1361.0,0.0713,5742.0,1.27,4.73
HD 11964 b,HD 11964,14.1,0.3278638620846127,0.041,76.88,3.16,5303.0,0.91,7.45
HD 11964 c,HD 11964,5.38,0.6323350411631878,0.3,695.0,0.2289999999999999,5303.0,0.91,7.45
HD 121504 b,HD 121504,13.6,0.7178397931503169,0.03,658.9,0.33,6027.0,1.62,1.2
HD 12235 b,HD 12235,3.23,0.9969486348916092,0.376,1429.54,0.054,5986.0,1.1,5.941999999999999
HD 122562 c,HD 122562,10.1,0.3293037471426004,0.228,552.432,0.406,4956.0,1.241,5.5341
HD 124330 b,HD 124330,14.0,0.3900130035492427,0.34,629.2900000000001,0.86,5873.0,1.15,6.752999999999998
HD 12484 b,HD 12484,13.2,1.181727195378616,0.07,567.8,0.297,5920.0,1.01,4.717999999999999
HD 125595 b,HD 125595,2.839553935,1.269760544863939,0.0,556.624,0.08,4691.0,0.2899999999999999,3.53
HD 125612 b,HD 125612,13.2,1.181727195378616,0.446,274.67,1.3490000000000002,5900.0,1.05,1.77
HD 125612 c,HD 125612,4.07,0.8197798314933114,0.149,1242.6,0.051,5900.0,1.05,1.77
HD 125612 d,HD 125612,12.7,1.9629077254238845,0.115,433.3,3.982,5900.0,1.05,1.77
HD 126525 b,HD 126525,10.3,0.3213585988111648,0.035,314.9,1.837,5638.0,0.8969999999999999,9.67
HD 12661 b,HD 12661,13.3,1.0296194171811583,0.38,627.4010000000001,0.8400000000000001,5645.0,1.2,6.39
HD 12661 c,HD 12661,13.2,1.1474024528375415,0.031,174.82,2.8145,5748.0,1.02,6.39
HD 126614 b,HD 126614,12.7,0.2538667239570503,0.548,367.87,2.249,5568.0,0.96,7.2
HD 127506 b,HD 127506,5.67,0.6010318916521397,0.24,450.24,0.287,4595.32,0.73,4.707000000000001
HD 128311 b,HD 128311,13.5,0.8153648132841945,0.303,379.4,1.084,4965.0,0.8279999999999998,0.96
HD 128311 c,HD 128311,13.0,1.3887912413184778,0.159,318.99,1.7400000000000002,4965.0,0.8279999999999998,0.96
HD 128356 b,HD 128356,13.9,0.456791735273505,0.57,726.2,0.87,4875.0,0.65,10.0
HD 130322 b,HD 130322,13.7,0.5771750043075246,0.029,720.0,0.0925,5387.0,0.9200000000000002,0.35
HD 131496 b,HD 131496,13.4,0.8372475245337022,0.181,455.1,2.01,4846.0,1.34,2.7
HD 13167 b,HD 13167,13.1,1.2725655957915476,0.563,378.31,4.1,5671.0,1.35,5.679
HD 132406 b,HD 132406,12.8,1.7833912195575383,0.25,255.275,1.98,5766.0,0.973,7.187
HD 132563 b,HD 132563,13.6,0.708035793053696,0.22,492.1,2.62,6289.0,1.231,2.31
HD 133131 A b,HD 133131 A,13.6,0.6861225656229808,0.33,613.301,1.44,5799.0,0.95,9.7
HD 133131 A c,HD 133131 A,14.3,0.223943231484774,0.49,509.0,4.49,5799.0,0.95,9.7
HD 134060 b,HD 134060,3.16,1.015230679729059,0.45,1373.3,0.0444,5966.0,1.095,5.6
HD 134060 c,HD 134060,5.91,0.5766133643039938,0.11,333.64,2.3928,5966.0,1.095,5.6
HD 134606 b,HD 134606,2.97,1.068153081183401,0.092,937.2,0.1046,5576.0,1.046,7.3
HD 134606 c,HD 134606,3.37,0.9631743177730056,0.055,520.6,0.3007,5576.0,1.046,7.3
HD 134606 d,HD 134606,7.59,0.4466070514393395,0.092,330.64,1.941,5576.0,1.046,7.3
HD 134606 e,HD 134606,1.33,1.867176108512809,0.2,1185.586,0.0527,5576.0,1.046,7.3
HD 134606 f,HD 134606,2.24,1.3217558399823195,0.081,675.018,0.1784,5576.0,1.046,7.3
HD 134987 b,HD 134987,13.5,0.76080582903376,0.23,460.92,0.81,5736.0,1.1,8.4
HD 135694 b,HD 135694,2.857,1.11514159061932,0.0,750.83,0.124695,5712.0,1.02,9.8
HD 135872 b,HD 135872,12.8,1.717395053939193,0.164,194.18,4.172,4992.0,1.646,4.462
HD 136352 b,HD 136352,1.664,1.8906825087274528,0.0,905.0,0.0964,5664.0,0.87,12.3
HD 136352 c,HD 136352,2.916,1.2520964607141103,0.0,677.0,0.1721,5664.0,0.87,12.3
HD 136352 d,HD 136352,2.562,1.3553474058395834,0.0,431.0,0.425,5664.0,0.87,12.3
HD 136418 b,HD 136418,13.3,0.9516578757114464,0.25,602.17,1.29,4989.0,1.48,4.0
HD 137388 b,HD 137388,9.32,0.3583735005743138,0.36,347.5,0.89,5181.0,0.6800000000000002,6.45
