pl_name,hostname,pl_rade,pl_dens,pl_orbeccen,pl_eqt,pl_orbsmax,st_teff,st_mass,st_age,LSS
Kepler-681 b,Kepler-681,3.08,1.0367368849500225,0.0,489.0,0.1635,5021.0,0.8,5.01,0.396411529238877
Kepler-682 b,Kepler-682,7.37,0.4605844073292439,0.0,753.0,0.1057999999999999,5559.0,0.9200000000000002,3.98,0.2825153938665371
Kepler-683 b,Kepler-683,1.97,1.449269160281279,0.0,1332.0,0.0354999999999999,5703.0,0.96,4.37,0.34714395586034563
Kepler-684 b,Kepler-684,3.36,0.9631743177730056,0.0,812.0,0.064,5493.0,0.89,4.37,0.30116290006657764
Kepler-685 b,Kepler-685,10.58,0.3118867611485983,0.0,1579.0,0.0265,5963.0,1.11,3.39,0.21957381872590778
Kepler-686 b,Kepler-686,12.15,1.269760544863939,0.0,1539.0,0.0258,5649.0,0.94,4.47,0.22095340232528654
Kepler-687 b,Kepler-687,3.52,0.9321640810304452,0.0,518.0,0.1326,4841.0,0.77,5.5,0.37746062505555994
Kepler-688 b,Kepler-688,9.76,0.3407487933884732,0.0,1005.0,0.046,5715.0,0.98,4.27,0.2438833773362249
Kepler-689 b,Kepler-689,2.89,1.091923300517313,0.0,536.0,0.1449,5518.0,0.91,4.57,0.37929743129135446
Kepler-69 b,Kepler-69,2.24,1.324418957401803,0.16,779.0,0.094,5638.0,0.81,13.18,0.3106308711099809
Kepler-69 c,Kepler-69,1.71,1.5933085305042167,0.14,299.0,0.64,5638.0,0.81,13.18,0.7021416458991211
Kepler-690 b,Kepler-690,5.95,0.5721088521828892,0.0,964.0,0.081,5913.0,1.11,3.55,0.25546055655111083
Kepler-691 b,Kepler-691,2.09,1.3912819026309298,0.0,460.0,0.0649,3715.0,0.53,3.98,0.4561155947241782
Kepler-692 b,Kepler-692,3.11,1.0296194171811583,0.0,639.0,0.1494999999999999,5440.0,0.9,4.68,0.3566331321790577
Kepler-693 b,Kepler-693,10.18,0.3249778571954778,0.0,600.0,0.1121,4881.0,0.76,4.47,0.3226026810599124
Kepler-694 b,Kepler-694,2.8,1.1216775615991057,0.0,914.0,0.0659,5700.0,0.97,4.07,0.3047397037725621
