pl_name,hostname,pl_rade,pl_orbeccen,pl_eqt,pl_orbsmax,st_teff,st_lum,st_mass,st_age,pl_bmasse,pl_dens,pl_insol,pl_orbper,st_rad
OGLE-2018-BLG-0506L b,OGLE-2018-BLG-0506L,4.18,0.242,663.6,3.0,5549.0,-0.07632,0.63,8.130300000000002,2.8507065015037334,0.8020015854720274,3.7738047305788975,2.4950335327117,0.668536814587228
OGLE-2018-BLG-0516L b,OGLE-2018-BLG-0516L,4.73,0.2304,355.2,2.2,5549.0,-0.07632,0.4699999999999999,8.189,3.0492730404820207,0.712949807856125,1.489161453652709,2.4950335327117,0.668536814587228
OGLE-2018-BLG-0532L b,OGLE-2018-BLG-0532L,2.37,0.1468999999999999,366.9,1.064,5549.0,-0.07632,0.195,7.775999999999999,1.977962372729982,1.2725655957915476,1.6407278510891523,2.4950335327117,0.668536814587228
OGLE-2018-BLG-0567L b,OGLE-2018-BLG-0567L,12.3,0.17786,129.01000000000002,2.72,5549.0,-0.07632,0.25,6.419700000000001,4.631861679873728,0.26236426446749106,0.11394186980072665,2.4950335327117,0.668536814587228
OGLE-2018-BLG-0596L b,OGLE-2018-BLG-0596L,3.81,0.1186,416.986,0.97,5549.0,-0.07632,0.231,7.624,2.703372611551099,0.8671004876833832,1.8992607239073405,2.4950335327117,0.668536814587228
OGLE-2018-BLG-0677L b,OGLE-2018-BLG-0677L,1.82,0.1636999999999999,437.8440000000001,0.63,5549.0,-0.07632,0.12,8.518,1.601405740736836,1.5282278570085572,1.9901418965311681,2.4950335327117,0.668536814587228
OGLE-2018-BLG-0799L b,OGLE-2018-BLG-0799L,10.9,0.2105999999999999,421.91,1.2800000000000002,5549.0,-0.07632,0.0929999999999999,5.608,4.4264667058937635,0.3008450589780618,1.978616114170648,2.4950335327117,0.668536814587228
OGLE-2018-BLG-0932L b,OGLE-2018-BLG-0932L,13.9,0.25416,551.8399999999999,1.75,5549.0,-0.07632,0.7199999999999999,6.9893,5.648506812843462,0.45679173527350503,2.939594105245385,2.4950335327117,0.668536814587228
OGLE-2018-BLG-0962L b,OGLE-2018-BLG-0962L,13.6,0.25898,62.24,3.59,5549.0,-0.07632,0.54,7.086,6.056526521954128,0.6575200029167942,0.04851156725546708,2.4950335327117,0.668536814587228
OGLE-2018-BLG-0977L b,OGLE-2018-BLG-0977L,2.41,0.1407,341.42,2.0,5549.0,-0.07632,0.4699999999999999,8.757000000000001,2.0014800002101243,1.2556160374777745,1.442912977649891,2.4950335327117,0.668536814587228
