pl_name,hostname,pl_rade,pl_dens,pl_orbeccen,pl_eqt,pl_orbsmax,st_teff,st_mass,st_age,LSS
14 Her b,14 Her,2.6100697927420065,2.0831845279586703,0.316998126785834,5.630709863766875,1.3281354469463584,5338.0,0.91,1.589235205116581,0.38756679895901086
24 Sex b,24 Sex,2.667228206581955,0.8919980393051105,0.0861776962410523,6.408858226081421,0.8471549930392929,5098.0,1.54,1.308332819650179,0.33857214428939464
24 Sex c,24 Sex,2.7013612129514133,0.4440445900756395,0.2546422183735807,6.436576559588328,1.1249295969854831,5098.0,1.54,1.308332819650179,0.36416806577705635
47 UMa b,47 UMa,2.653241964607215,1.0715836162801904,0.0314986670593709,5.556480510963286,1.1314021114911006,5872.0,1.06,2.012232791986386,0.7218778684330605
47 UMa c,47 UMa,2.7212954278522306,0.2844267797311083,0.0934903430873388,5.432629704155631,1.5260563034950494,5872.0,1.06,2.012232791986386,0.42238434804595837
51 Peg b,51 Peg,2.72785282839839,0.2429461786103894,0.0129162252665463,7.133631094261324,0.051358292275142,5758.0,1.03,2.3978952727983707,0.2116109448735089
55 Cnc B b,55 Cnc B,0.9895411936137476,1.6054298910365616,0.0,6.048978453308589,0.0430594894604469,3286.0,0.26,2.3978952727983707,0.5455654480064368
55 Cnc B c,55 Cnc B,1.1505720275988207,1.358409157630355,0.0,5.723683136362538,0.1222176327242492,3286.0,0.26,2.3978952727983707,0.7997286489002148
55 Cnc b,55 Cnc,2.7013612129514133,0.4317824164255378,0.0028958031120255,6.55250788703459,0.1115413747329074,5198.0,1.015,2.3978952727983707,0.28717228195418765
55 Cnc c,55 Cnc,2.252343876557299,0.3960879462955674,0.0843411484337508,6.250675769034069,0.2207406666978994,5198.0,1.015,2.3978952727983707,0.3336071827040012
55 Cnc e,55 Cnc,1.0560526742493137,2.0360119837525,0.048790164169432,7.580189417944541,0.0153220160977846,5172.0,0.905,1.871802176901592,0.3810382579059321
55 Cnc f,55 Cnc,2.150598735996164,0.4466070514393395,0.0610950993598108,5.8206762261277,0.5888971591861462,5198.0,1.015,2.3978952727983707,0.6227127266421107
6 Lyn b,6 Lyn,2.667228206581955,0.8628899551470399,0.0411419433311751,6.003220178118836,1.1079023355752025,4941.0,1.32,1.2098554674840916,0.43913506476900155
61 Vir b,61 Vir,1.1346227261911428,1.3812818192963463,0.1133286853070031,6.994922393843995,0.0489815744207495,5577.0,0.942,2.298577071596507,0.31523957411075476
61 Vir c,61 Vir,1.6974487897568138,0.7561219797213337,0.1310282624064041,6.281967636746464,0.1967995759746077,5577.0,0.942,2.298577071596507,0.3363557335779871
61 Vir d,61 Vir,1.809926773183504,0.664233170395303,0.300104592450338,5.894953646727139,0.3893357261782807,5577.0,0.942,2.298577071596507,0.4004595138143041
7 CMa b,7 CMa,2.667228206581955,0.8501509293696101,0.0582689081239757,5.87245576052578,1.01450577937111,4826.0,1.34,1.667706820558076,0.42522742919659007
7 CMa c,7 CMa,2.7013612129514133,0.4485245975686113,0.0769610411361283,5.9070497959656185,1.1483543805629235,4826.0,1.34,1.667706820558076,0.46128985455003296
70 Vir b,70 Vir,2.6100697927420065,2.020222182019865,0.3356147262070837,6.05553264511394,0.3927175352856617,5495.0,1.09,2.171336806384092,0.31717923358292943
AT2021ueyL b,AT2021ueyL,2.681021528714291,0.6575200029167942,0.3140294127857213,5.812337881210547,1.6114359150967734,3680.0,0.49,2.0149030205422647,0.28163789390475163
AU Mic b,AU Mic,1.600754357261709,0.8415671856782186,0.005753417307513,6.398594934535208,0.062880898039201,3678.0,0.51,0.0199006617063361,0.2932825010512981
AU Mic c,AU Mic,1.2590348760420451,0.7975071958841881,0.0033743006389494,6.131226489483141,0.1050804764505074,3678.0,0.51,0.0199006617063361,0.3685035380589566
AU Mic d,AU Mic,0.7030975114131134,1.864080130807681,0.0030453581859601,6.695056985529466,0.0971267107307227,3678.0,0.51,0.0199006617063361,0.4473523182289136
AU Mic e,AU Mic,1.769854633840005,0.6931471805599453,0.1447062209992586,6.1758880599104415,0.0971267107307227,3665.0,0.6000000000000001,0.0183309566847234,0.2995294960029657
BD+05 4868 A b,BD+05 4868 A,1.3453561970918029,1.269760544863939,0.1169827154856143,7.507141079727608,0.0205866336083883,4596.0,0.7,2.4932054526026954,0.2288904389656375
BD+14 4559 b,BD+14 4559,2.694627180770069,0.5253200699164432,0.2546422183735807,5.2321241438132375,0.5766133643039938,4864.0,0.49,1.8811430303627408,0.6558106745629091
BD+20 594 b,BD+20 594,1.2748235488973907,2.1849270495258133,0.0,6.304448802421981,0.2159175062224701,5766.0,1.6699999999999997,1.4678743481123135,0.4647636411552964
BD+45 564 b,BD+45 564,2.681021528714291,0.6647477060382473,0.1133286853070031,6.108803039525215,0.6043159668533296,5004.0,0.81,1.8586389980676,0.637680991211479
BD+55 362 b,BD+55 362,2.70805020110221,0.3770656335864664,0.2390169004704999,6.084954890195321,0.5766133643039938,5012.0,0.909,1.911466578592803,0.5973992543108995
BD-06 1339 b,BD-06 1339,1.3453561970918029,1.269760544863939,0.0,6.857303735486039,0.0419094030772096,4324.0,0.7,1.6863989535702286,0.3057483721269004
