pl_name,hostname,pl_rade,pl_dens,pl_orbeccen,pl_eqt,pl_orbsmax,st_teff,st_mass,st_age,LSS,hz_score,temp_score,retention_score,orbit_score,stellar_score
14 Her b,14 Her,2.6100697927420065,2.0831845279586703,0.316998126785834,5.630709863766875,1.3281354469463584,5338.0,0.91,1.589235205116581,0.38756679895901086,0.0010700036425959798,0.9599956447493242,3.639979347383691e-08,0.4742598029280199,0.9976739892401054
24 Sex b,24 Sex,2.667228206581955,0.8919980393051105,0.0861776962410523,6.408858226081421,0.8471549930392929,5098.0,1.54,1.308332819650179,0.33857214428939464,0.20524963632279208,0.3400749717406862,3.877639856888131e-10,0.835270211411272,0.9818900742256587
24 Sex c,24 Sex,2.7013612129514133,0.4440445900756395,0.2546422183735807,6.436576559588328,1.1249295969854831,5098.0,1.54,1.308332819650179,0.36416806577705635,0.36620245078934,0.3272734556726196,1.7631789711552725e-11,0.559898366565402,0.9818900742256587
47 UMa b,47 UMa,2.653241964607215,1.0715836162801904,0.0314986670593709,5.556480510963286,1.1314021114911006,5872.0,1.06,2.012232791986386,0.7218778684330605,0.7984401851744565,0.9993386484768884,1.1817428382400028e-09,0.9380049995307295,0.9878864131335705
47 UMa c,47 UMa,2.7212954278522306,0.2844267797311083,0.0934903430873388,5.432629704155631,1.5260563034950494,5872.0,1.06,2.012232791986386,0.42238434804595837,0.01567140391077669,0.9436379675818694,2.7172267527373336e-12,0.8220122346781865,0.9878864131335705
51 Peg b,51 Peg,2.72785282839839,0.2429461786103894,0.0129162252665463,7.133631094261324,0.051358292275142,5758.0,1.03,2.3978952727983707,0.2116109448735089,0.06433375948668325,0.022325115429693353,1.4401821164275701e-12,0.9743350896087494,0.8607934123458345
55 Cnc B b,55 Cnc B,0.9895411936137476,1.6054298910365616,0.0,6.048978453308589,0.0430594894604469,3286.0,0.26,2.3978952727983707,0.5455654480064368,0.3231387263325834,0.45794256779430514,0.7892817328555587,1.0,0.6012490527034464
55 Cnc B c,55 Cnc B,1.1505720275988207,1.358409157630355,0.0,5.723683136362538,0.1222176327242492,3286.0,0.26,2.3978952727983707,0.7997286489002148,0.9558343349794352,0.822384735549551,0.49732771249840035,1.0,0.6012490527034464
55 Cnc b,55 Cnc,2.7013612129514133,0.4317824164255378,0.0028958031120255,6.55250788703459,0.1115413747329074,5198.0,1.015,2.3978952727983707,0.28717228195418765,0.09875593473010763,0.2692876053769712,1.7032498111338946e-11,0.9942167875284308,0.8586412469815763
55 Cnc c,55 Cnc,2.252343876557299,0.3960879462955674,0.0843411484337508,6.250675769034069,0.2207406666978994,5198.0,1.015,2.3978952727983707,0.3336071827040012,0.1799381618354913,0.4032274416721949,0.0004802130583274519,0.838617983337074,0.8586412469815763
55 Cnc e,55 Cnc,1.0560526742493137,2.0360119837525,0.048790164169432,7.580189417944541,0.0153220160977846,5172.0,0.905,1.871802176901592,0.3810382579059321,0.05748770240615395,5.7928544080741064e-05,0.8568214973968599,0.9048374180359595,0.990550386447901
55 Cnc f,55 Cnc,2.150598735996164,0.4466070514393395,0.0610950993598108,5.8206762261277,0.5888971591861462,5198.0,1.015,2.3978952727983707,0.6227127266421107,0.8535598895950708,0.5974333795822597,0.0029140550588591203,0.8816148467834161,0.8586412469815763
6 Lyn b,6 Lyn,2.667228206581955,0.8628899551470399,0.0411419433311751,6.003220178118836,1.1079023355752025,4941.0,1.32,1.2098554674840916,0.43913506476900155,0.3806407824085681,0.4666041170736977,3.6891434749560695e-10,0.9194312560951247,0.9731663597428295
